,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,id
18,adventista,0.7776971014492752,0.5320144927536231,200485.42028985507,0.3252028985507245,7.437101449275364e-06,0.1395594202898551,-9.22013043478261,0.0289028985507246,113.79046376811591,0.5195942028985507,25.695652173913043,6,1,18
19,afghan pop,0.4503999999999999,0.6968333333333333,301078.0833333333,0.6721666666666666,0.0014728504166666,0.0986708333333333,-7.560708333333334,0.0802,113.18816666666667,0.8082916666666667,38.583333333333336,7,1,19
20,african gospel,0.77,0.605,534036.0,0.602,0.000761,0.083,-6.726,0.0413,129.305,0.903,32.0,4,1,20
21,african percussion,0.3492000000000002,0.5938666666666667,284304.53333333327,0.7623999999999999,0.255481912,0.12804,-8.04,0.0865399999999999,132.61299999999997,0.4638,12.733333333333333,0,0,21
22,african reggae,0.2503972222222222,0.7511944444444446,267519.6666666666,0.6631666666666666,0.0035307772222222,0.1075777777777777,-7.365055555555555,0.0576388888888888,118.41558333333332,0.7701388888888887,44.41666666666667,7,1,22
23,african rock,0.0977498375,0.6727166666666666,231344.8083333333,0.5741249999999999,0.093797965,0.1485958333333333,-8.675066666666666,0.07028,119.22338333333332,0.5252833333333332,42.025,8,1,23
24,afro dancehall,0.066539235,0.6087333333333333,206349.31666666665,0.7600166666666666,0.0092396406666666,0.21595,-5.9619,0.1699733333333333,134.14636666666664,0.5856333333333332,53.03333333333334,11,1,24
25,afro house,0.1997499999999999,0.6675,235788.5,0.5965,0.195746,0.1114999999999999,-8.674,0.1682,132.147,0.673,54.0,5,1,25
26,afro psych,0.2443,0.438,318605.5,0.75975,0.399225,0.151,-11.1595,0.053425,137.68125,0.8047500000000001,27.75,1,1,26
27,afro-cuban traditional,0.152,0.662,374813.0,0.764,0.0103,0.0803,-7.994,0.0819,135.90200000000002,0.769,29.0,7,1,27
28,afro-funk,0.1509166666666666,0.8058666666666667,288830.93333333335,0.7271666666666666,0.0823830466666667,0.09704,-8.896149999999999,0.0957049999999999,114.98983333333337,0.875,29.08333333333333,0,1,28
29,afrobeat,0.3392989840459177,0.6255580703411693,320634.8909396384,0.6192811059869952,0.3079911442475089,0.165400702515532,-9.898266175365938,0.0609325441257948,118.67621285827398,0.7076457005281088,38.23552898890576,0,1,29
30,afrobeat brasileiro,0.9,0.621,161373.0,0.758,0.00216,0.121,-9.981,0.106,87.435,0.695,14.0,6,0,30
31,afrofuturism,0.2499122249052303,0.6319543603352304,298945.7077883145,0.5880325776699893,0.1162632989866645,0.1900778324601696,-9.499777477338176,0.1417124027310228,113.32288108122916,0.4706770489424381,45.91769865298093,9,1,31
32,afrofuturismo brasileiro,0.626,0.484,247120.0,0.81,0.000283,0.11,-4.579,0.0377,144.454,0.422,36.0,7,0,32
33,afropop,0.4415449363689098,0.6084024753946681,323634.7059977444,0.5253437564719334,0.1317037617099729,0.157685623894378,-11.340903428446786,0.076558663054369,115.0785133732316,0.6300199358919044,43.583738488348125,7,1,33
34,afroswing,0.3676583333333333,0.6972916666666666,186504.9583333333,0.5646666666666667,0.0001799908333333,0.2107958333333333,-7.4395,0.1804708333333333,79.75991666666667,0.701125,77.625,11,0,34
35,aggrotech,3.28e-06,0.4920000000000001,285667.0,0.947,0.7559999999999999,0.319,-5.97,0.0433,120.036,0.212,45.0,1,1,35
36,alabama indie,0.2172244487179487,0.5225128205128206,237709.41025641025,0.6695000000000001,0.0745632743589743,0.1276538461538461,-8.478858974358973,0.0436820512820512,113.62196153846156,0.5323846153846153,43.5,7,1,36
37,alabama metal,0.002136,0.4350000000000001,190191.0,0.8799999999999999,7.366666666666667e-07,0.1540666666666666,-3.451,0.0609666666666666,110.25966666666666,0.4653333333333334,46.0,6,1,37
38,alabama rap,0.1359068904095904,0.7009887778887779,214143.7842990343,0.6049699134199134,0.0003940782727272,0.1668154662004662,-6.691861488511488,0.2161820446220446,115.67961336996338,0.4220112554112554,51.08852813852814,2,1,38
39,albanian pop,0.0959349999999999,0.6935,167717.5,0.782,1.215e-05,0.15595,-7.0075,0.11395,125.498,0.6215,56.5,6,0,39
40,alberta country,0.1840741851851851,0.5950935185185185,200241.49814814812,0.7487166666666667,2.8644851851851847e-05,0.2224922222222222,-6.196218518518517,0.0487177777777777,110.24659814814814,0.6116444444444444,54.55648148148149,11,1,40
41,alberta hip hop,0.329,0.906,144013.0,0.604,0.0,0.255,-8.332,0.0746,99.996,0.899,75.0,11,0,41
42,album rock,0.1923480814036322,0.5140670986128587,266273.5188008231,0.6581594149915682,0.0744741814444702,0.216539966826857,-9.910221946033795,0.0567145675524052,123.70450100166678,0.5482462158280802,37.890222169601046,9,1,42
43,albuquerque indie,0.3981040384615384,0.5851346153846154,218208.44871794872,0.5868141025641026,0.0244855328205128,0.2076070512820512,-8.634647435897437,0.0341974358974358,127.28044230769233,0.6200897435897436,53.67948717948718,2,1,43
44,alt-idol,0.000273,0.616,230613.0,0.985,0.000145,0.111,-1.598,0.0832,109.979,0.487,53.0,11,1,44
45,alternative americana,0.3186740476190476,0.5021967120181406,232470.9166666667,0.5304268707482994,0.2724381099659864,0.1874676870748299,-9.399354875283446,0.0464767006802721,123.49729535147392,0.4424002267573695,48.266439909297056,11,1,45
46,alternative country,0.408534484363072,0.5342905052663306,248417.5131239656,0.5311980412662861,0.0565443612220513,0.1736583701442495,-10.134085497495148,0.0437915867694496,119.0807969909933,0.5093888465056646,42.508912114385126,9,1,46
47,alternative dance,0.1417534505407212,0.6125784530723684,264767.6657702488,0.7322709005191046,0.2082154026054812,0.1922803111470794,-6.700668777167725,0.0599344042933657,125.43483486263328,0.5294958783918712,50.83318978295099,2,1,47
48,alternative emo,0.0958209339975845,0.4715564009661835,216976.04311594204,0.7545667874396136,0.029634388115942,0.1918316425120773,-6.75093502415459,0.0706507367149758,130.84606050724645,0.4512939613526568,47.86062801932367,4,1,48
49,alternative hip hop,0.2042984805358424,0.6971754795361758,246993.37675772843,0.6843630128248718,0.0386744077075875,0.2311306983244951,-7.523439848125333,0.253788451340714,106.84882845212906,0.6015245435748926,47.52048644696139,1,1,49
50,alternative metal,0.0590878844998659,0.4639656995961612,245505.9066261804,0.8325527011717013,0.1061652321324851,0.2124276273005808,-5.8344778526194006,0.0819383304521997,126.15052290426613,0.4137104551453563,46.85818154079024,2,1,50
51,alternative pop,0.1023781160789244,0.4772272546962806,217119.0054985515,0.7436669747758774,0.1543763411821494,0.1759720217644741,-8.96483470672043,0.0489925440709595,128.1240144133023,0.5720638086530863,37.85601748630864,11,1,51
52,alternative pop rock,0.1830695833333332,0.5961510416666668,208448.07118055556,0.7148621527777778,1.1372309027777775e-05,0.1934453819444444,-4.8288947916666665,0.0651746527777777,119.6851767361111,0.6104333333333333,53.50000000000001,10,1,52
53,alternative r&b,0.3225985205745157,0.6555711014024341,233620.2719723381,0.5390861074117852,0.0277758586476828,0.1710260555730868,-8.316013055333698,0.1410285735755463,114.31441850112024,0.439659070969732,58.0178612832236,1,1,53
54,alternative rock,0.1569225971859474,0.4806415069799881,241602.7498027649,0.7070422918475654,0.1655329374269288,0.1946883877884339,-8.351835487082385,0.0632157417323839,125.30362575034592,0.501319107298496,42.270542914119225,7,1,54
55,alternative roots rock,0.3151972941176469,0.5052588235294119,246973.51176470588,0.5759588235294116,0.1198556038235294,0.1513747058823529,-8.078405882352941,0.055195294117647,116.97279999999998,0.4051588235294118,45.96470588235294,9,1,55
56,ambeat,0.5150481904761904,0.7173595238095236,250642.64285714287,0.6378952380952381,0.3020605238095238,0.1426192857142857,-7.613142857142859,0.1032595238095237,98.3315476190476,0.6903880952380952,49.67142857142856,10,0,56
57,ambient,0.6800111229492956,0.3419104955034564,362510.48342312063,0.2928369510948944,0.7797465125639064,0.1287623037479186,-18.92471008738922,0.0422263565234385,107.30594458486271,0.189638797047357,42.68858555706702,2,1,57
58,ambient black metal,0.001325495,0.2638333333333333,356480.0,0.7681666666666667,0.7681833333333333,0.3260333333333333,-9.345,0.0573666666666666,111.02750000000005,0.2410166666666667,42.833333333333336,4,1,58
